% Graph saved at Tue Nov 14 2023 14:49:28 GMT+0100 (heure normale d’Europe centrale)
n 23.114583333333332 266.40625 0 src
n 177.11458333333331 436.64434523809524 1
n 175.94791666666666 268.7872023809524 2
n 329.9479166666667 269.97767857142856 3
n 483.9479166666667 437.83482142857144 4
n 481.6145833333333 335.45386904761904 5 snk
e 0 1 0 2 2
e 1 0 1 2 2
e 0 2 2 2 1
e 2 0 3 2 1
e 1 2 4 2 2
e 2 1 5 2 2
e 1 3 6 2 2
e 3 1 7 2 2
e 2 3 8 2 1
e 3 2 9 2 1
e 2 4 10 2 1
e 4 2 11 2 1
e 3 4 12 2 2
e 4 3 13 2 2
e 3 5 14 2 1
e 5 3 15 2 1
e 4 5 16 2 2
e 5 4 17 2 2
