% Graph saved at Tue Nov 14 2023 14:49:28 GMT+0100 (heure normale d’Europe centrale)
n 23.114583333333332 266.40625 0 src
n 177.11458333333331 436.64434523809524 1 src
n 175.94791666666666 268.7872023809524 2
n 329.9479166666667 269.97767857142856 3
n 483.9479166666667 437.83482142857144 4
n 481.6145833333333 335.45386904761904 5
n 175.94791666666666 130.69196428571428 6 snk
n 646.1145833333333 268.7872023809524 7 snk
e 3 5 0 8 12
e 3 4 1 20 22
e 4 5 2 1 21
e 2 3 3 26 32
e 1 4 4 13 12
e 1 3 5 10 17
e 0 2 6 1 27
e 0 1 7 38 33
e 1 2 8 8 18
e 4 7 9 7 19
e 5 7 10 7 27
e 3 7 11 1 31
e 6 7 12 27 2
e 3 6 13 24 23
e 0 6 14 2 12
e 4 2 15 2 24
