% Graph saved at Tue Nov 14 2023 14:49:28 GMT+0100 (heure normale d’Europe centrale)
n 23.114583333333332 266.40625 0 src
n 177.11458333333331 436.64434523809524 1 src
n 175.94791666666666 268.7872023809524 2
n 329.9479166666667 269.97767857142856 3
n 483.9479166666667 437.83482142857144 4
n 481.6145833333333 335.45386904761904 5 snk
n 481.6145833333333 335.45386904761904 6 snk
e 0 2 0 5 2
e 0 3 1 3 1
e 2 3 2 3 1
e 2 5 3 2 1
e 3 5 4 7 2
e 1 3 5 8 1
e 1 4 6 14 5
e 3 4 7 3 2
e 3 6 8 2 1
e 4 6 9 9 1
